work_id,collection,composer,title,catalog_key,n_units,year_start,year_end,year_certainty,source,note
kern-bach-370-chorales-chor054,kern/bach-370-chorales,Johann Sebastian Bach,chor054,,1,,,,,
kern-bach-370-chorales-chor055,kern/bach-370-chorales,Johann Sebastian Bach,chor055,,1,,,,,
kern-bach-370-chorales-chor056,kern/bach-370-chorales,Johann Sebastian Bach,chor056,,1,,,,,
kern-bach-370-chorales-chor057,kern/bach-370-chorales,Johann Sebastian Bach,chor057,,1,,,,,
kern-bach-370-chorales-chor058,kern/bach-370-chorales,Johann Sebastian Bach,chor058,,1,,,,,
kern-bach-370-chorales-chor059,kern/bach-370-chorales,Johann Sebastian Bach,chor059,,1,,,,,
kern-bach-370-chorales-chor060,kern/bach-370-chorales,Johann Sebastian Bach,chor060,,1,,,,,
kern-bach-370-chorales-chor061,kern/bach-370-chorales,Johann Sebastian Bach,chor061,,1,,,,,
kern-bach-370-chorales-chor062,kern/bach-370-chorales,Johann Sebastian Bach,chor062,,1,,,,,
kern-bach-370-chorales-chor063,kern/bach-370-chorales,Johann Sebastian Bach,chor063,,1,,,,,
kern-bach-370-chorales-chor064,kern/bach-370-chorales,Johann Sebastian Bach,chor064,,1,,,,,
kern-bach-370-chorales-chor065,kern/bach-370-chorales,Johann Sebastian Bach,chor065,,1,,,,,
kern-bach-370-chorales-chor066,kern/bach-370-chorales,Johann Sebastian Bach,chor066,,1,,,,,
kern-bach-370-chorales-chor067,kern/bach-370-chorales,Johann Sebastian Bach,chor067,,1,,,,,
kern-bach-370-chorales-chor068,kern/bach-370-chorales,Johann Sebastian Bach,chor068,,1,,,,,
kern-bach-370-chorales-chor069,kern/bach-370-chorales,Johann Sebastian Bach,chor069,,1,,,,,
kern-bach-370-chorales-chor070,kern/bach-370-chorales,Johann Sebastian Bach,chor070,,1,,,,,
kern-bach-370-chorales-chor071,kern/bach-370-chorales,Johann Sebastian Bach,chor071,,1,,,,,
kern-bach-370-chorales-chor072,kern/bach-370-chorales,Johann Sebastian Bach,chor072,,1,,,,,
kern-bach-370-chorales-chor073,kern/bach-370-chorales,Johann Sebastian Bach,chor073,,1,,,,,
kern-bach-370-chorales-chor074,kern/bach-370-chorales,Johann Sebastian Bach,chor074,,1,,,,,
kern-bach-370-chorales-chor075,kern/bach-370-chorales,Johann Sebastian Bach,chor075,,1,,,,,
kern-bach-370-chorales-chor076,kern/bach-370-chorales,Johann Sebastian Bach,chor076,,1,,,,,
kern-bach-370-chorales-chor077,kern/bach-370-chorales,Johann Sebastian Bach,chor077,,1,,,,,
kern-bach-370-chorales-chor078,kern/bach-370-chorales,Johann Sebastian Bach,chor078,,1,,,,,
kern-bach-370-chorales-chor079,kern/bach-370-chorales,Johann Sebastian Bach,chor079,,1,,,,,
kern-bach-370-chorales-chor080,kern/bach-370-chorales,Johann Sebastian Bach,chor080,,1,,,,,
kern-bach-370-chorales-chor081,kern/bach-370-chorales,Johann Sebastian Bach,chor081,,1,,,,,
kern-bach-370-chorales-chor082,kern/bach-370-chorales,Johann Sebastian Bach,chor082,,1,,,,,
kern-bach-370-chorales-chor083,kern/bach-370-chorales,Johann Sebastian Bach,chor083,,1,,,,,
kern-bach-370-chorales-chor084,kern/bach-370-chorales,Johann Sebastian Bach,chor084,,1,,,,,
kern-bach-370-chorales-chor085,kern/bach-370-chorales,Johann Sebastian Bach,chor085,,1,,,,,
