composer_id,name,born,died,n_units,sources
mackenzie_a,Alexander Mackenzie,1847,1935,8,openscore_lieder
mahler_g,Gustav Mahler,1860,1911,14,dcml/mahler_kindertotenlieder;openscore_lieder
maier_a,Amanda Maier,1853,1894,1,openscore_quartets
marshall_fa,Florence Ashton Marshall,1843,1922,2,openscore_lieder
mayer_e,Emilie Mayer,1812,1883,14,openscore_lieder;openscore_quartets
medtner_n,Nikolai Medtner,1880,1951,19,dcml/medtner_tales
mendelssohn_f,Felix Mendelssohn,1809,1847,76,dcml/mendelssohn_quartets;openscore_lieder;openscore_quartets
moeran_ej,Ernest John Moeran,1894,1950,1,openscore_quartets
monteverdi_c,Claudio Monteverdi,1567,1643,19,dcml/monteverdi_madrigals
mounsey_a,Ann Mounsey,1811,1891,7,openscore_lieder
mozart_wa,Wolfgang Amadeus Mozart,1756,1791,455,dcml_mozart_sonatas;kern/humdrum-mozart-quartets;kern/mozart-piano-sonatas;musedata_mozart;openscore_quartets;s3
muller-hermann_j,Johanna Müller-Hermann,1868,1941,1,openscore_quartets
munktell_h,Helena Munktell,1852,1919,12,openscore_lieder
netzel_l,Laura Netzel,1839,1927,7,openscore_lieder
nielsen_c,Carl Nielsen,1865,1931,1,openscore_quartets
onslow_g,George Onslow,1784,1853,1,openscore_quartets
paradis_mt,Maria Theresia von Paradis,1759,1824,12,openscore_lieder
parratt_w,Walter Parratt,1841,1924,13,openscore_lieder
parry_h,Hubert Parry,1848,1918,8,openscore_lieder
pergolesi_gb,Giovanni Battista Pergolesi,1710,1736,12,dcml/pergolesi_stabat_mater
peri_j,Jacopo Peri,1561,1633,6,dcml/peri_euridice
phillips_e,Elizabeth Phillips,1822,1876,1,openscore_lieder
philp_e,Elizabeth Philp,1827,1885,2,openscore_lieder
pleyel_i,Ignaz Pleyel,1757,1831,6,dcml/pleyel_quartets
poldowski,Poldowski,1880,1932,3,openscore_lieder
poulenc_f,Francis Poulenc,1899,1963,3,dcml/poulenc_mouvements_perpetuels
puget_l,Loïsa Puget,1810,1889,3,openscore_lieder
rachmaninoff_s,Sergei Rachmaninoff,1873,1943,22,dcml/rachmaninoff_piano
ravel_m,Maurice Ravel,1875,1937,6,dcml/ravel_piano;openscore_quartets
reger_m,Max Reger,1873,1916,4,openscore_quartets
reichardt_l,Louise Reichardt,1779,1826,43,openscore_lieder
rootham_c,Cyril Rootham,1875,1938,1,openscore_lieder
saint-georges_jb,Joseph Bologne Saint-Georges,1745,1799,6,openscore_quartets
satie_e,Erik Satie,1866,1925,11,openscore_lieder
scarlatti_d,Domenico Scarlatti,1685,1757,134,dcml/scarlatti_sonatas;kern/scarlatti-keyboard-sonatas
schroter_c,Corona Schröter,1751,1802,25,openscore_lieder
schubert_f,Franz Schubert,1797,1828,119,dcml/schubert_winterreise;openscore_lieder;openscore_quartets
schulhoff_e,Erwin Schulhoff,1894,1942,7,dcml/schulhoff_suite_dansante_en_jazz;openscore_quartets
schumann_c,Clara Schumann,1819,1896,12,dcml/c_schumann_lieder
schumann_r,Robert Schumann,1810,1856,99,dcml/schumann_kinderszenen;dcml/schumann_liederkreis;openscore_lieder;openscore_quartets
scriabin_a,Alexander Scriabin,1872,1915,207,kern/scriabin
shield_w,William Shield,1748,1829,1,openscore_lieder
sirharoldboulton_b,"Sir Harold Boulton, 2nd Baronet",1859,1935,12,openscore_lieder
smetana_b,Bedřich Smetana,1824,1884,1,openscore_quartets
smyth_e,Ethel Smyth,1858,1944,2,openscore_lieder;openscore_quartets
somervell_a,Arthur Somervell,1863,1937,10,openscore_lieder
spohr_l,Louis Spohr,1784,1859,1,openscore_quartets
stanford_cv,Charles Villiers Stanford,1852,1924,18,openscore_lieder;openscore_quartets
stenhammar_w,Wilhelm Stenhammar,1871,1927,1,openscore_quartets
strauss_r,Richard Strauss,1864,1949,5,openscore_lieder;openscore_quartets
sullivan_a,Arthur Sullivan,1842,1900,2,openscore_lieder
sweelinck_jp,Jan Pieterszoon Sweelinck,1562,1621,1,dcml/sweelinck_keyboard
tchaikovsky_pi,Pyotr Ilyich Tchaikovsky,1840,1893,17,dcml/tchaikovsky_seasons;openscore_quartets;s3
tegner_a,Alice Tegnér,1864,1943,2,openscore_lieder
telemann_gp,Georg Philipp Telemann,1681,1767,560,musedata_telemann
thys_pme,Pauline-Marie-Elisa Thys,1835,1909,1,openscore_lieder
viardot_p,Pauline Viardot,1821,1910,21,openscore_lieder
vivaldi_a,Antonio Vivaldi,1678,1741,471,kern/vivaldi-op6;musedata_vivaldi
wagner_r,Richard Wagner,1813,1883,7,dcml/wagner_overtures;openscore_lieder
warlock_p,Peter Warlock,1894,1930,22,openscore_lieder
webern_a,Anton Webern,1883,1945,10,openscore_lieder
white_mv,Maude Valerie White,1855,1937,6,openscore_lieder
wieck_c,Clara Wieck,1819,1896,17,openscore_lieder
wolf_h,Hugo Wolf,1860,1903,24,openscore_lieder;openscore_quartets
wood_c,Charles Wood,1866,1926,1,openscore_lieder
zemlinsky_a,Alexander von Zemlinsky,1871,1942,1,openscore_quartets
zumsteeg_e,Emilie Zumsteeg,1796,1857,11,openscore_lieder
