query,work_A,work_B,df_pred,present,p_present_hier,p_present_kn
0,dcml_abc-n07op59-1,dcml-chopin_mazurkas-bi16-1,0.21224489795918366,0,0.006045020471494134,0.010963555384144508
0,dcml_abc-n07op59-1,dcml-chopin_mazurkas-bi16-2,0.21224489795918366,0,0.010581078275694877,0.01770325286895935
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-50-1,0.24413145539906103,0,0.0669081174631666,0.11828288396096431
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-50-2,0.24413145539906103,0,0.12136296975868399,0.20959066667545323
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-50-3,0.24413145539906103,0,0.14517174936979038,0.24812368460425283
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-50-4,0.24413145539906103,0,0.10378936969582286,0.1806109798392711
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-50-5,0.24413145539906103,0,0.1470252447535979,0.2510419521360189
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-50-6,0.24413145539906103,0,0.05372826715724399,0.09551570106929608
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-55-1,0.24413145539906103,0,0.08273783951660774,0.14529160403017727
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-55-2,0.24413145539906103,0,0.09609126538169321,0.16776535551185157
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-55-3,0.24413145539906103,0,0.061271039705760644,0.10857820579523536
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-55-4,0.24413145539906103,0,0.17441909161357028,0.2941930417498997
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-55-5,0.24413145539906103,0,0.045066800747596725,0.0804093451442841
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-55-6,0.24413145539906103,0,0.09178020456405156,0.1605420816737284
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-56-2,0.24413145539906103,0,0.09314701376860546,0.1628362090990333
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-56-4,0.24413145539906103,0,0.04264225142938283,0.0761611460074646
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-56-6,0.24413145539906103,0,0.03073554648820853,0.05516845295175832
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-57-2,0.24413145539906103,0,0.06631482354427076,0.11726633427841393
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-57-4,0.24413145539906103,0,0.06897448632676817,0.1218315978145792
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq-57-6,0.24413145539906103,0,0.09170991318993715,0.1604211641279537
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq112n02,0.24413145539906103,0,0.008127753985285757,0.014725799399712969
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq112n08,0.24413145539906103,0,0.005846061690327864,0.010601771919622416
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq112n15,0.24413145539906103,0,0.007656115956786169,0.013873965049322923
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq113n03,0.24413145539906103,0,0.010952917689825759,0.0198213752860682
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq114n07,0.24413145539906103,0,0.011344671409610596,0.020527006814936466
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq117n11,0.24413145539906103,0,0.012831906134909254,0.023203776914969
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq117n12,0.24413145539906103,0,0.011266328839749207,0.020385921159654763
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq117n13,0.24413145539906103,0,0.01416069105635187,0.02559258040081669
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq117n14,0.24413145539906103,0,0.01189285051282929,0.021514037622793136
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq119n07,0.24413145539906103,0,0.09084478156375853,0.1589687943149628
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq56n01,0.24413145539906103,0,0.08462676633613175,0.14848635866603466
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq56n03,0.24413145539906103,0,0.058738469941756355,0.10420212727845135
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq56n05,0.24413145539906103,0,0.0971609388165473,0.16956144143535812
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq57n01,0.24413145539906103,0,0.08223035358473296,0.14442943170375322
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq57n03,0.24413145539906103,0,0.059036744962005505,0.10471807302534031
0,dcml_abc-n07op59-1,dcml-cpe_bach_keyboard-wq57n05,0.24413145539906103,0,0.07507764334747746,0.13226730010243282
0,dcml_abc-n07op59-1,dcml-jc_bach_sonatas-op-17,0.21224489795918366,0,0.6344451107939759,0.8375449861640767
0,dcml_abc-n07op59-1,dcml-jc_bach_sonatas-op-5,0.21224489795918366,0,0.5580826033613006,0.7727663732125218
0,dcml_abc-n07op59-1,dcml-kozeluh_sonatas-op-10-no-1,0.2175732217573222,0,0.13678870504969876,0.23443677382162809
0,dcml_abc-n07op59-1,dcml-kozeluh_sonatas-op-13-no-2,0.2175732217573222,0,0.12873710881558442,0.22142214865550558
0,dcml_abc-n07op59-1,dcml-kozeluh_sonatas-op-15-no-1,0.2175732217573222,0,0.2566316100136433,0.4166694323617204
0,dcml_abc-n07op59-1,dcml-kozeluh_sonatas-op-17-no-1,0.2175732217573222,0,0.24246757634669291,0.3958913186900873
0,dcml_abc-n07op59-1,dcml-kozeluh_sonatas-op-20-no-1,0.2175732217573222,0,0.16378875268096726,0.27736996169379957
0,dcml_abc-n07op59-1,dcml-kozeluh_sonatas-op-26-no-1,0.2175732217573222,0,0.22467095484426736,0.3701583116197954
0,dcml_abc-n07op59-1,dcml-kozeluh_sonatas-op-30-no-1,0.2175732217573222,0,0.26566985182488445,0.4291995344000722
0,dcml_abc-n07op59-1,dcml-kozeluh_sonatas-op-8-no-1,0.2175732217573222,0,0.13675756058539124,0.23454613243725853
0,dcml_abc-n07op59-1,dcml-mendelssohn_quartets-op-12,0.21224489795918366,0,0.4867633621380034,0.6994012642711662
0,dcml_abc-n07op59-1,dcml-mendelssohn_quartets-op-13,0.21224489795918366,0,0.4793900811316617,0.6947970974472044
0,dcml_abc-n07op59-1,dcml-pleyel_quartets-op-2-no-1-b-307,0.21138211382113822,0,0.368710890937645,0.368710890937645
0,dcml_abc-n07op59-1,dcml-schubert_winterreise-d-911-op-89,0.21739130434782608,0,0.6679911516296321,0.7834210866890918
0,dcml_abc-n07op59-1,dcml-wf_bach_sonatas-f-1,0.21224489795918366,0,0.06225483264527609,0.11026789832706874
