query,work,composer,hash,n_B,p_q_excl_A,count_excl_A,pred_occurrences,obs_occurrences,pred_works,obs_works
0,dcml_abc-n07op59-1,beethoven_l,7154234861506525088,246,9.082384780937484e-05,121,72.73478536102893,121,56.797206745242065,52
1,dcml_mozart_sonatas-K281,mozart_wa,3670244862319782681,231,1.005376709293746e-05,15,9.491137722538298,15,9.120378996649382,4
2,dcml-beethoven_piano_sonatas-op-22,beethoven_l,4094360367770551381,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
3,kern-humdrum-haydn-quartets-op17n5,haydn_fj,6092250630597275959,216,5.785906267791844e-07,0,1.0474310079704738,0,1.0403786333908287,0
4,osq-5108909,schubert_f,1766574540482285632,288,4.947050909581163e-07,0,0.9628993243766315,0,0.9584410883591056,0
5,dcml_abc-n09op59-3,beethoven_l,236929638794183133,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
6,dcml_abc-n05op18-5,beethoven_l,7971132240624112807,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
7,musedata_mozart-bhl-qrtets-k589,mozart_wa,15094056217641100168,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
8,musedata_beethoven-bhl-orch-sym1,beethoven_l,12029846966742145020,246,2.2049435434540155e-06,2,2.256960770760731,2,2.2329882369796517,2
9,musedata_mozart-bhl-conc-k271,mozart_wa,3968772331688480021,231,0.0005045262791402468,800,531.8352513440509,800,158.54342532086375,110
10,dcml-beethoven_piano_sonatas-op-57,beethoven_l,17001997413025850070,246,0.00039242600098330705,526,359.10774585695634,526,153.6006794721755,53
11,kern-humdrum-haydn-quartets-op33n4,haydn_fj,2225020141683883849,216,5.785906267791844e-07,0,1.0474310079704738,0,1.0403786333908287,0
12,kern-humdrum-haydn-symphonies-sym101,haydn_fj,1267006934118586113,216,2.346060746109412e-05,38,25.671516607338898,38,22.247925357799915,5
13,musedata_mozart-bhl-conc-k466,mozart_wa,17054964850937280521,231,6.052477544538431e-07,0,1.0468659958651148,0,1.03911745968519,0
14,musedata_beethoven-bhl-orch-sym7,beethoven_l,7684822917720272153,246,7.155501944469425e-07,0,0.9505403525376116,0,0.9470869666366072,0
15,dcml_mozart_sonatas-K281,mozart_wa,10446147022491468280,231,3.7547542006150487e-06,5,3.8616232380895084,5,3.7966154490667616,2
