query,work,composer,hash,n_B,p_q_excl_A,count_excl_A,pred_occurrences,obs_occurrences,pred_works,obs_works
38,dcml-beethoven_piano_sonatas-op-10-1,beethoven_l,11480388474139142365,246,1.4713206500588897e-06,1,1.9447614109378595,1,1.9302543117240312,1
39,osq-5108909,schubert_f,11770656265712966074,288,1.0176749790358953e-06,1,1.5262529454686256,1,1.5180060017958343,1
40,dcml-beethoven_piano_sonatas-op-27-1,beethoven_l,6684035197061309914,246,0.0003052990348872196,414,285.4495260887426,414,138.22874352227657,106
41,dcml-cpe_bach_keyboard-wq117n13,bach_cpe,11014589826569171688,271,4.826264143367072e-07,0,0.9594203716396555,0,0.9552810958437375,0
42,kern-humdrum-haydn-symphonies-sym102,haydn_fj,18393813864822966287,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
43,kern-humdrum-haydn-quartets-op64n3,haydn_fj,15883361305857544597,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
44,musedata_mozart-nma-sym-k45,mozart_wa,2355059962871086999,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
45,dcml_abc-n14op131,beethoven_l,18207364549488308068,246,1.4713206500588897e-06,1,1.8649304258900965,1,1.851396890472589,1
46,dcml_abc-n02op18-2,beethoven_l,12107047427064549431,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
47,dcml_abc-n15op132,beethoven_l,11379584286865703963,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
48,kern-humdrum-haydn-symphonies-sym100,haydn_fj,17324819380679724761,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
49,osq-5116349,arriaga_jc,8942966689877010268,302,1.4343895859491021e-06,2,2.0335525449689085,2,2.0206198160474225,1
50,dcml-beethoven_piano_sonatas-op-110,beethoven_l,14298340066842436713,246,3.678301625147224e-06,4,3.1080875610388246,4,3.065949910427557,2
51,kern-humdrum-haydn-symphonies-sym101,haydn_fj,8658613387404361537,216,1.9639443620513577e-05,32,20.267133005671564,32,18.549529111639313,10
52,dcml_mozart_sonatas-K457,mozart_wa,3583661485227438291,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
53,osq-5108909,schubert_f,11795067275911018803,288,0.0006406263993030962,1258,903.5157980031042,1258,225.44571288054877,200
54,kern-humdrum-haydn-quartets-op71n1,haydn_fj,6610286562383265605,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
55,kern-humdrum-haydn-quartets-op54n1,haydn_fj,107848137463227094,216,3.5708079310024685e-06,5,5.355429635659831,5,5.131381497816509,4
56,osq-5116346,arriaga_jc,11813789050793240196,302,4.781298619830341e-07,0,0.951782940162846,0,0.9477683226377254,0
57,kern-beethoven-piano-sonatas-sonata27,beethoven_l,15170396102668432366,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
