query,work,composer,hash,n_B,p_q_excl_A,count_excl_A,pred_occurrences,obs_occurrences,pred_works,obs_works
190,dcml-jc_bach_sonatas-op-17,bach_jc,5256762155030673565,303,4.793905220658664e-07,0,0.953732427911133,0,0.9497021643512937,0
191,osl-5004732,schubert_f,18333386419788195107,288,1.0176749790358953e-06,1,1.9647884697127065,1,1.9460826545912036,1
192,kern-humdrum-haydn-symphonies-sym101,haydn_fj,14816471429333876953,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
193,musedata_beethoven-bhl-orch-sym3,beethoven_l,7268244210290706588,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
194,osq-5769894,haydn_fj,14729819665629288367,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
195,musedata_mozart-bhl-sym-k504,mozart_wa,15755871035853597269,231,7.902708326592177e-05,126,67.580803207614,126,52.36590805409736,17
196,dcml_abc-n13op130,beethoven_l,3221869704979616374,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
197,osl-5004732,schubert_f,966119820142503855,288,3.5618624266256342e-06,6,4.792440265427042,6,4.702474915752735,3
198,kern-humdrum-haydn-quartets-op50n1,haydn_fj,9354366666225330942,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
199,dcml-jc_bach_sonatas-op-17,bach_jc,3889945308399202948,303,5.752686264790396e-06,11,9.404385174253836,11,8.906882520616268,2
