n,lam,loglik,pendiente,MAE_log,sesgo_log,obs_pred
4,0.0,-9.700527861218086,1.0217025707874334,0.1379860907960075,-0.029937672985256042,1.06140272425067
4,0.05,-9.345545827003754,1.021876832840857,0.13437931808239909,-0.030644470423160968,1.0582893803108329
4,0.1,-9.315665869713511,1.022022751298312,0.1311000341275395,-0.03127751049029567,1.055194247294771
4,0.15,-9.29419630554753,1.0221407162229823,0.1278212787500975,-0.03183741669782882,1.0521171658863344
4,0.2,-9.277806475904509,1.0222309537236611,0.12453734073301302,-0.032324500369489695,1.049057978622315
4,0.25,-9.265083272399846,1.022293530041643,0.1215068093551003,-0.03273876836296718,1.0460165298655857
4,0.3,-9.255276855624592,1.0223283508385506,0.11858577331490774,-0.033079922860625006,1.042992665778706
4,0.35,-9.247947886349438,1.0223351557042153,0.11578288279015116,-0.03334735335979699,1.0399862342979846
4,0.4,-9.242831201524973,1.0223135075637146,0.11328668292419457,-0.03354012048668341,1.0369970851079877
4,0.45,-9.239774153021287,1.0222627762889838,0.11114476541605417,-0.03365693071646909,1.0340250696164879
4,0.5,-9.238707187573034,1.022182115363058,0.10960258901163318,-0.03369610043881825,1.0310700409298392
4,0.55,-9.239631428344621,1.0220704298385592,0.10829056035599269,-0.033655506976343785,1.028131853828778
4,0.6,-9.242617761236925,1.0219263329786066,0.1072195482529234,-0.033532523020003126,1.0252103647446313
4,0.65,-9.247816758937576,1.0217480877140661,0.10653050154627057,-0.03332392929740446,1.0223054317359344
4,0.7,-9.25548293602701,1.0215335271402488,0.1060360562389927,-0.03302579782402483,1.0194169144654397
4,0.75,-9.266023488754778,1.021279945268268,0.10579630846396086,-0.03263333427038205,1.01654467417752
4,0.8,-9.280097286106908,1.020983944353018,0.10588500546675497,-0.03214066186935156,1.0136885736759478
4,0.85,-9.298836197418161,1.0206412168734573,0.1062617107379765,-0.031540519158791615,1.0108484773020507
4,0.9,-9.324437984370409,1.0202462257862404,0.10705371667406773,-0.03082382638851232,1.0080242509132329
4,0.95,-9.362408711933647,1.0197917201704576,0.10875586004543095,-0.029979043926432757,1.0052157618618536
4,1.0,-10.946622431706492,1.0192679721638969,0.11122648283199758,-0.028991186175350205,1.0024228789744616
5,0.0,-15.576240046108808,1.0398113076378996,0.28157308521199587,-0.14975084729961463,1.0685093417816707
5,0.05,-12.330447564560728,1.040301086006173,0.27901687962272304,-0.15001980998683323,1.0647670518571313
5,0.1,-12.279187964766832,1.0407583949299501,0.27640737287284123,-0.1501627679055274,1.0610508840357717
5,0.15,-12.244848245158638,1.0411841344182968,0.2737535539787732,-0.15018107066237513,1.0573605657608014
5,0.2,-12.219800978098439,1.041578985049063,0.27120535286211445,-0.15007546260082882,1.0536958282540796
5,0.25,-12.201077354418297,1.0419434244547183,0.2686905969572948,-0.14984610647373595,1.0500564064508606
5,0.3,-12.187179819263717,1.0422777373436358,0.26616688210897005,-0.14949259096286735,1.046442038935884
5,0.35,-12.17725990856897,1.0425820196125803,0.26457883319416864,-0.14901392248629106,1.0428524678807807
5,0.4,-12.170816850918646,1.0428561766698996,0.26411160610668594,-0.1484085006428677,1.0392874389827647
5,0.45,-12.167565976468453,1.0430999156498002,0.2636683719706737,-0.14767407544981823,1.0357467014045767
5,0.5,-12.167377241028836,1.0433127306931111,0.2635090832484666,-0.1468076830678559,1.0322300077156492
5,0.55,-12.170249247697797,1.0434938798180198,0.2636230627095785,-0.14580555474909587,1.02873711383447
5,0.6,-12.176306422027611,1.0436423509830093,0.26399144997989,-0.14466299093241852,1.0252677789721107
5,0.65,-12.185817519511811,1.0437568135524107,0.26463767119119624,-0.1433741881648546,1.0218217655768909
5,0.7,-12.199242356004223,1.0438355491572318,0.2657431642417718,-0.14193199982761176,1.0183988392801582
5,0.75,-12.217327535263685,1.0438763522418975,0.26721862344222597,-0.1403276006328077,1.0149987688431554
5,0.8,-12.241305075453894,1.0438763841145065,0.2689816488685908,-0.13855000597588157,1.011621326104943
5,0.85,-12.273348658390663,1.0438319524233066,0.27152882168426723,-0.13658536331639548,1.008266285931362
5,0.9,-12.317840742821293,1.0437381648526165,0.2748210438397986,-0.134415868510617,1.0049334261650111
5,0.95,-12.386434140048754,1.043588357768182,0.2788538144093335,-0.1320180303661661,1.0016225275762065
5,1.0,-17.803762048957566,1.0433730923168634,0.2835713830710981,-0.12935972425371717,0.9983333738149129
6,0.0,-21.93145034227583,1.0193215075734723,0.20916329318912638,-0.09611516043845388,1.0782300002976473
6,0.05,-14.928264067093195,1.0194357588107503,0.20765255293808335,-0.0974807421524595,1.0740591735910234
6,0.1,-14.857868371454012,1.0195349865483685,0.20610798571840994,-0.09875089027465693,1.0699204898668928
6,0.15,-14.812185903710759,1.019619675034275,0.2045301498253791,-0.09992732723771264,1.0658135789808407
6,0.2,-14.77955942192067,1.0196901637546132,0.20296633891336233,-0.10101118388952557,1.061738076449946
6,0.25,-14.755570025880886,1.019746651333092,0.20174534456438165,-0.10200300649807073,1.0576936233449525
6,0.3,-14.73802859096041,1.0197891935269827,0.20075903944300208,-0.10290274262267264,1.0536798661848914
6,0.35,-14.725710094992554,1.0198176946569497,0.19977505979804858,-0.10370970328067428,1.0496964568340958
6,0.4,-14.71789647095687,1.019831891049086,0.19880275867097424,-0.10442249634880398,1.0457430524015445
6,0.45,-14.714179115584226,1.0198313239772068,0.1978597488673586,-0.10503892259302998,1.0418193151424668
6,0.5,-14.714367058980363,1.019815297889923,0.19706167518914,-0.10555582027072362,1.0379249123621588
6,0.55,-14.71844776522301,1.0197828168748644,0.1966672677423196,-0.1059688353710889,1.0340595163219466
6,0.6,-14.726581638559525,1.019732487352696,0.19660549039154496,-0.10627207935985589,1.0302228041472437
6,0.65,-14.73912714122261,1.0196623658590243,0.19661432915082794,-0.10645760897061461,1.0264144577376482
6,0.7,-14.756706306161647,1.0195697130133452,0.1967140393464374,-0.10651461081615139,1.0226341636790244
6,0.75,-14.780340907655395,1.019450578035106,0.1972415249497814,-0.10642806940981106,1.0188816131575222
6,0.8,-14.811738897441598,1.0192990563095932,0.1982099220677659,-0.10617647186016496,1.0151565018754836
6,0.85,-14.853962967028625,1.019105862612037,0.199669334600359,-0.10572756983961665,1.0114585299691832
6,0.9,-14.91332491480077,1.0188553136623417,0.20162608084223432,-0.10502980848667427,1.0077874019283646
6,0.95,-15.00716043076733,1.0185180490293515,0.20405477043574463,-0.1039926788571126,1.0041428265175192
6,1.0,-24.235715053053617,1.0180297016614752,0.20704283675536644,-0.10243253058521551,1.0005245166988697
7,0.0,-26.47746093274851,1.0192952672772198,0.2605574776935309,-0.16179804743460657,1.0997296641120735
7,0.05,-17.330812736153128,1.0192636478990835,0.2592586231138462,-0.16341089645762774,1.0941476361996456
7,0.1,-17.244970540439226,1.0192258346612704,0.2579383863953782,-0.1649444652993162,1.0886219888282718
7,0.15,-17.19086461973005,1.0191821467865816,0.25659183740627145,-0.1664005878238373,1.0831518720937316
7,0.2,-17.15292294744476,1.019132857991884,0.25522993984916925,-0.167780855217795,1.0777364530888205
7,0.25,-17.125426686693995,1.019078199840462,0.25392727618844935,-0.16908663083766698,1.0723749154805642
7,0.3,-17.105598283384886,1.0190183642440738,0.2526437937566795,-0.17031906143044023,1.0670664590999932
7,0.35,-17.091903890406872,1.0189535051888914,0.2516712086598119,-0.17147908503344772,1.061810299544037
7,0.4,-17.083451915964584,1.0188837397249029,0.2507986495311445,-0.17256743572865318,1.056605667789131
7,0.45,-17.07973662015861,1.0188091482258037,0.24993434616439816,-0.17358464530539863,1.0514518098161274
7,0.5,-17.080519722029422,1.018729773893462,0.24920680717648636,-0.17453104176499992,1.0463479862461336
7,0.55,-17.085779545393276,1.0186456214447506,0.24870153242359727,-0.17540674447157265,1.041293471986905
7,0.6,-17.095702546608422,1.0185566548759364,0.2484525492270146,-0.1762116556059633,1.0362875558894358
7,0.65,-17.110712587598286,1.0184627941465982,0.24850546071816307,-0.17694544740106802,1.0313295404144083
7,0.7,-17.1315494681587,1.0183639105557496,0.2489278877663655,-0.17760754441034712,1.0264187413081731
7,0.75,-17.159433439427342,1.0182598204891329,0.24958609788004485,-0.1781970997633792,1.0215544872879418
7,0.8,-17.196413038679605,1.0181502770865436,0.2504674895855409,-0.1787129639583927,1.016736119735888
7,0.85,-17.246181404317234,1.0180349591927718,0.2515594111787317,-0.17915364418010934,1.0119629924018638
7,0.9,-17.316406400240247,1.0179134566860093,0.252826184971315,-0.17951725133210494,1.0072344711144565
7,0.95,-17.42841227261101,1.0177852508760432,0.2543088238883999,-0.179801430810082,1.002549933500099
7,1.0,-27.39555353950023,1.017649688052973,0.2558589930122792,-0.18000327131135388,0.9979087687099915
8,0.0,-29.845198559738133,1.0181374851011065,0.24551684816776514,-0.13812879862893904,1.0993148990583668
