pair,label,work_A,work_B,hash,occ_A,occ_B,mov_A,windows_B,DF,E,E_laplace,intervals,rclass,uniform_rhythm
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,9145721126288521390,1,2,1,5517,0.017341040462427744,0.02008360037287542,0.03256081323537744,-1 -2 -3 1 2 2 3,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,6181560136851867162,1,12,1,5517,0.23699421965317918,1.1252542291750964,0.7814595176490585,-1 -2 -2 -1 1 2 2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,10023436408967932570,1,1,1,5517,0.19653179190751446,1.0979321710084533,0.7033135658841527,-2 -2 -1 1 2 2 1,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,3133499252750218760,1,1,1,5517,0.005780346820809248,0.0012218778707670714,0.013024325294150976,-1 -2 0 2 -2 -2 0,0 2 -2 0 0 2 -2,0
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,3233632128978370427,1,2,1,5517,0.017341040462427744,0.05562165938798279,0.04558513852952841,-2 -1 -2 -2 -1 5 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,6844262950870320717,1,2,1,5517,0.023121387283236993,0.07600694204155684,0.052097301176603904,-1 -2 -2 -1 5 -2 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,5381740442922869156,3,3,1,5517,0.15028901734104047,0.6046857888653934,0.53399733706019,-2 -2 -1 5 -2 -2 -1,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,5654059416772329186,2,3,1,5517,0.10982658959537572,0.3736500573163681,0.3190959697066989,-2 -1 5 -2 -2 -1 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,13329723287368371349,2,1,1,5517,0.08670520231213873,0.25594057619082056,0.25397434323594403,-1 -2 -2 -2 -1 5 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,12341390068907646,2,1,1,5517,0.08092485549132948,0.2637213803819363,0.266998668530095,-2 -2 -2 -1 5 -2 -2,0 0 0 0 0 0 0,1
P07,1,musedata_mozart-bhl-qrtets-k464,dcml_abc-n05op18-5,17848918134859229289,2,1,2,5517,0.4161849710982659,2.6232907536467303,1.8234055411811365,2 2 1 2 2 1 2,0 0 0 0 0 0 0,1
