query,work,composer,n_B,obs_occ,obs_works,pred_occ_lap,pred_occ_kn,pred_occ_hier,pred_works_lap,pred_works_kn,pred_works_hier,pred_works_df
0,dcml_abc-n07op59-1,beethoven_l,246,121,52,71.86893163550666,116.2341457864037,125.61149992998969,56.26576318207192,80.74669955545917,84.42976266577487,48.6394765594663
1,dcml_mozart_sonatas-K281,mozart_wa,231,15,4,9.415000292641984,12.322464208257635,14.463218816530025,9.049932197636345,11.702591443646213,12.390162300161094,4.404481530316948
2,dcml-beethoven_piano_sonatas-op-22,beethoven_l,246,0,0,0.9767441434944739,5.885576161436764e-07,5.405886847349796e-07,0.9730988331175744,5.885576148667582e-07,5.405886827070105e-07,6.049836129066831e-07
3,kern-humdrum-haydn-quartets-op17n5,haydn_fj,216,0,0,1.0768521539959388,0.005724589153197331,0.004888123033339475,1.0694009250832588,0.0057243430096367565,0.004887834165764882,0.005134338476903958
4,osq-5108909,schubert_f,288,0,0,0.9900881386985868,8.568495520092875e-08,1.481325449211249e-07,0.9853763063176227,8.568495590832725e-08,1.4813254500811723e-07,9.661717496804225e-08
5,dcml_abc-n09op59-3,beethoven_l,246,0,0,0.9767441434944739,6.706045672255334e-10,6.252866391077006e-10,0.9730988331175744,6.706042388060496e-10,6.252858231192704e-10,8.054849108784623e-10
6,dcml_abc-n05op18-5,beethoven_l,246,0,0,0.9767441434944739,6.019253483400705e-07,4.3180202417723235e-07,0.9730988331175744,6.01925347565313e-07,4.318020233595732e-07,6.033904194704358e-07
7,musedata_mozart-bhl-qrtets-k589,mozart_wa,231,0,0,1.0755791371670043,0.0020769760068348802,0.002923303352027009,1.0674064883778756,0.0020769302316711036,0.002923190888302618,0.0013774758124192425
8,musedata_beethoven-bhl-orch-sym1,beethoven_l,246,2,2,2.2663680711391176,1.5694718865550328,1.4885816156981222,2.2423339331661905,1.555991292963241,1.4804351937703442,1.6868359439500555
9,musedata_mozart-bhl-conc-k271,mozart_wa,231,800,110,525.1231185815504,786.9825263708535,803.6805498954327,157.8712049139999,177.60637601729505,178.0970047675235,104.13700526256646
10,dcml-beethoven_piano_sonatas-op-57,beethoven_l,246,526,53,354.6201099639785,542.1593565567564,552.3646282959429,152.78040350059678,178.87782060364043,175.20524174709323,54.0205036243883
11,kern-humdrum-haydn-quartets-op33n4,haydn_fj,216,0,0,1.0768521539959388,4.776294835203025e-05,5.9717691585906724e-05,1.0694009250832588,4.776293497699147e-05,5.9717666610947795e-05,6.857446352682753e-05
12,kern-humdrum-haydn-symphonies-sym101,haydn_fj,216,38,5,25.403236569040235,36.05268089459924,36.86488332834063,22.045143433449695,29.69731176293098,30.767234904759334,4.286354968573134
